  V_V1                  V(U1:OUT)            
  0.000000000000e+00  -5.985274850517e-20  
  1.000000000000e-01  4.720487276215e-08  
  2.000000000000e-01  2.334010689052e-07  
  3.000000000000e-01  6.088802939555e-07  
  4.000000000000e-01  1.006497124673e-06  
  5.000000000000e-01  1.267463990811e-06  
  6.000000000000e-01  1.483959400235e-06  
  7.000000000000e-01  1.485158177426e-06  
  8.000000000000e-01  1.486346334470e-06  
  9.000000000000e-01  1.487519053209e-06  
  1.000000000000e+00  1.488675562319e-06  
  1.100000000000e+00  1.489807893078e-06  
  1.200000000000e+00  1.490916442010e-06  
  1.300000000000e+00  1.491986916495e-06  
  1.400000000000e+00  1.493012651503e-06  
  1.500000000000e+00  1.493980825952e-06  
  1.600000000000e+00  1.494880408190e-06  
  1.700000000000e+00  1.495686438244e-06  
  1.800000000000e+00  1.496376896945e-06  
  1.900000000000e+00  1.496944476087e-06  
  2.000000000000e+00  1.497490552045e-06  
  2.100000000000e+00  1.499302500878e-06  
  2.200000000000e+00  1.518275690501e-06  
  2.300000000000e+00  1.797109566165e-06  
  2.400000000000e+00  8.189098371028e-06  
  2.500000000000e+00  2.880197422743e-04  
  2.600000000000e+00  4.768796273848e-03  
  2.700000000000e+00  2.687444785604e-02  
  2.800000000000e+00  8.727876944759e-02  
  2.900000000000e+00  2.096157813208e-01  
  3.000000000000e+00  1.762160466601e+00  
  3.100000000000e+00  1.859643609620e+00  
  3.200000000000e+00  1.957274300011e+00  
  3.300000000000e+00  2.055028548322e+00  
  3.400000000000e+00  2.152884700169e+00  
  3.500000000000e+00  2.250824137089e+00  
  3.600000000000e+00  2.348833578385e+00  
  3.700000000000e+00  2.446906036773e+00  
  3.800000000000e+00  2.545038740365e+00  
  3.900000000000e+00  2.643230250801e+00  
  4.000000000000e+00  2.741478879415e+00  
  4.100000000000e+00  2.839782343384e+00  
  4.200000000000e+00  2.938137912499e+00  
  4.300000000000e+00  3.036542632135e+00  
  4.400000000000e+00  3.134993355086e+00  
  4.500000000000e+00  3.233485379178e+00  
  4.600000000000e+00  3.332007632903e+00  
  4.700000000000e+00  3.430555190562e+00  
  4.800000000000e+00  3.529133746595e+00  
  4.900000000000e+00  3.627745140323e+00  
  5.000000000000e+00  3.726388545745e+00  
  5.100000000000e+00  3.825062318661e+00  
  5.200000000000e+00  3.923764450038e+00  
  5.300000000000e+00  4.022492449200e+00  
  5.400000000000e+00  4.121242640857e+00  
  5.500000000000e+00  4.220008446478e+00  
  5.600000000000e+00  4.318775826303e+00  
  5.700000000000e+00  4.417512568476e+00  
  5.800000000000e+00  4.516141766089e+00  
  5.900000000000e+00  4.614477408412e+00  
  6.000000000000e+00  4.712069335678e+00  
  6.100000000000e+00  4.807832140628e+00  
  6.200000000000e+00  4.899118668418e+00  
  6.300000000000e+00  4.978668131705e+00  
  6.400000000000e+00  5.023979866003e+00  
  6.500000000000e+00  5.030007248460e+00  
  6.600000000000e+00  5.030408495825e+00  
  6.700000000000e+00  5.030612573491e+00  
  6.800000000000e+00  5.030782642808e+00  
  6.900000000000e+00  5.030940744953e+00  
  7.000000000000e+00  5.031094098821e+00  
  7.100000000000e+00  5.031245843868e+00  
  7.200000000000e+00  5.031396586210e+00  
  7.300000000000e+00  5.031547260432e+00  
  7.400000000000e+00  5.031697409138e+00  
  7.500000000000e+00  5.031847618337e+00  
  7.600000000000e+00  5.031997466225e+00  
  7.700000000000e+00  5.032147451040e+00  
  7.800000000000e+00  5.032297063750e+00  
  7.900000000000e+00  5.032446769156e+00  
  8.000000000000e+00  5.032596200514e+00  
  8.100000000000e+00  5.032745693154e+00  
  8.200000000000e+00  5.032894827101e+00  
  8.300000000000e+00  5.033044103823e+00  
  8.400000000000e+00  5.033193001263e+00  
  8.500000000000e+00  5.033342001246e+00  
  8.600000000000e+00  5.033490723788e+00  
  8.700000000000e+00  5.033639509093e+00  
  8.800000000000e+00  5.033787937308e+00  
  8.900000000000e+00  5.033936508293e+00  
  9.000000000000e+00  5.034084697187e+00  
